Sample,seconds_elapsed,Acx,Acy,Acz,Gyx,Gyy,Gyz
0,1.0825,0.121,-0.001,10.35,-1.0,0.0,0.0
1,1.1024,0.113,-0.024,10.345,-2.0,-1.0,-1.0
2,1.1223,0.146,-0.014,10.327,-1.0,0.0,-1.0
3,1.1423,0.123,-0.03,10.349,-2.0,-1.0,0.0
4,1.1622,0.12,-0.014,10.337,-1.0,0.0,0.0
5,1.1821,0.101,-0.025,10.349,0.0,-1.0,-1.0
6,1.2021,0.087,-0.002,10.353,0.0,0.0,1.0
7,1.222,0.098,-0.01,10.379,-1.0,0.0,0.0
8,1.242,0.146,-0.018,10.32,0.0,1.0,-1.0
9,1.2639,0.114,-0.004,10.354,-1.0,-1.0,0.0
9,1.2838,0.072,-0.044,10.378,0.0,-1.0,0.0
10,1.3038,0.12,-0.013,10.363,-1.0,2.0,1.0
11,1.3237,0.14,0.01,10.302,-3.0,-2.0,-1.0
12,1.3437,0.115,-0.013,10.295,-1.0,-2.0,-1.0
13,1.3636,0.087,-0.004,10.355,-1.0,0.0,-1.0
14,1.3836,0.151,-0.03,10.339,0.0,1.0,-1.0
15,1.4035,0.13,-0.006,10.356,-1.0,0.0,0.0
16,1.4234,0.12,0.002,10.373,-2.0,-1.0,-1.0
17,1.4434,0.152,-0.037,10.351,-1.0,0.0,-1.0
18,1.4633,0.108,-0.017,10.348,0.0,1.0,0.0
18,1.4832,0.087,-0.001,10.348,-3.0,-2.0,0.0
19,1.5032,0.202,-0.018,10.22,0.0,-3.0,0.0
20,1.5231,0.11,-0.013,10.301,-1.0,-6.0,1.0
21,1.543,0.101,-0.04,10.349,-1.0,6.0,-1.0
22,1.563,0.151,-0.011,10.385,-1.0,1.0,1.0
23,1.5829,0.085,-0.007,10.314,1.0,-1.0,0.0
24,1.6029,0.091,-0.034,10.36,-1.0,0.0,0.0
25,1.6228,0.194,-0.002,10.295,0.0,0.0,0.0
26,1.6427,0.113,0.011,10.381,-1.0,-4.0,0.0
27,1.6627,0.098,-0.019,10.349,0.0,1.0,-1.0
27,1.6826,0.096,-0.024,10.376,1.0,0.0,-1.0
28,1.7026,0.096,-0.022,10.318,-2.0,-1.0,0.0
29,1.7225,0.123,-0.037,10.361,-1.0,1.0,-1.0
30,1.7425,0.126,0.01,10.333,1.0,1.0,0.0
31,1.7624,0.116,0.005,10.374,0.0,-1.0,-1.0
32,1.7823,0.138,-0.022,10.339,0.0,0.0,0.0
33,1.8023,0.117,-0.018,10.357,1.0,-2.0,0.0
34,1.8222,0.099,-0.008,10.338,-1.0,-1.0,0.0
