Sample,seconds_elapsed,Acx,Acy,Acz,Gyx,Gyy,Gyz
0,3.7627,-44.989,-0.691,-0.11,-0.0,0.001,-0.001
1,3.7836,-44.989,-0.692,-0.109,0.001,0.001,0.0
2,3.8025,-44.988,-0.7,-0.107,0.001,-0.003,0.001
3,3.8234,-44.988,-0.699,-0.105,-0.001,-0.001,0.0
4,3.8424,-44.989,-0.696,-0.106,-0.001,0.003,-0.001
5,3.8633,-44.988,-0.697,-0.109,0.0,-0.0,0.001
6,3.8823,-44.989,-0.694,-0.112,-0.001,-0.0,-0.001
7,3.9032,-44.989,-0.695,-0.11,0.001,0.001,0.0
8,3.9221,-44.988,-0.695,-0.109,-0.0,-0.001,0.001
9,3.943,-44.988,-0.698,-0.109,-0.0,-0.001,0.0
9,3.962,-44.988,-0.7,-0.108,0.001,-0.0,0.0
10,3.9829,-44.988,-0.699,-0.107,-0.0,-0.0,0.0
11,4.0038,-44.987,-0.699,-0.105,0.0,0.001,0.001
12,4.0228,-44.988,-0.698,-0.107,-0.001,-0.0,-0.001
13,4.0437,-44.988,-0.697,-0.107,0.0,-0.0,0.0
14,4.0626,-44.988,-0.699,-0.107,0.0,0.001,0.0
15,4.0836,-44.987,-0.699,-0.105,0.0,-0.0,0.001
16,4.1025,-44.987,-0.699,-0.107,-0.001,-0.0,0.0
17,4.1234,-44.987,-0.697,-0.106,-0.001,0.001,0.0
18,4.1423,-44.987,-0.697,-0.107,0.0,-0.0,0.0
18,4.1632,-44.984,-0.697,-0.107,-0.001,-0.0,0.002
19,4.1822,-44.978,-0.696,-0.107,-0.001,0.001,0.005
20,4.2031,-44.971,-0.695,-0.105,0.001,0.001,0.006
21,4.222,-44.97,-0.695,-0.106,0.0,0.001,0.001
22,4.243,-44.97,-0.696,-0.107,0.0,-0.001,0.0
23,4.2619,-44.97,-0.694,-0.105,0.0,0.002,0.0
24,4.2828,-44.97,-0.694,-0.104,0.001,-0.0,0.0
25,4.3038,-44.97,-0.693,-0.102,0.0,-0.0,0.0
26,4.3227,-44.97,-0.69,-0.101,0.0,0.002,-0.0
27,4.3436,-44.97,-0.692,-0.1,0.0,-0.0,-0.0
27,4.3625,-44.97,-0.693,-0.103,-0.001,-0.0,-0.0
28,4.3835,-44.971,-0.693,-0.101,0.001,-0.0,-0.001
29,4.4024,-44.972,-0.69,-0.102,0.0,0.001,-0.001
30,4.4233,-44.973,-0.689,-0.099,0.001,0.001,-0.001
31,4.4423,-44.972,-0.689,-0.097,0.0,-0.0,0.001
32,4.4632,-44.972,-0.688,-0.1,-0.001,0.001,-0.0
33,4.4821,-44.971,-0.69,-0.098,0.0,-0.0,0.001
34,4.503,-44.971,-0.689,-0.099,-0.001,0.001,-0.0
35,4.522,-44.963,-0.686,-0.095,0.0,0.002,0.007
36,4.5429,-44.961,-0.684,-0.099,-0.002,0.002,0.001
36,4.5639,-44.96,-0.685,-0.098,-0.001,-0.0,0.001
37,4.5828,-44.959,-0.684,-0.097,0.0,0.001,0.001
38,4.6037,-44.958,-0.684,-0.098,-0.001,0.001,0.001
39,4.6227,-44.959,-0.682,-0.098,0.0,0.001,-0.001
40,4.6436,-44.959,-0.681,-0.099,0.0,0.001,-0.0
41,4.6625,-44.959,-0.681,-0.101,-0.001,-0.0,-0.0
42,4.6834,-44.951,-0.678,-0.102,0.0,0.002,0.007
43,4.7024,-44.944,-0.681,-0.103,-0.001,-0.0,0.005
44,4.7233,-44.936,-0.68,-0.1,-0.001,0.001,0.007
45,4.7423,-44.931,-0.679,-0.099,0.0,0.002,0.004
45,4.7632,-44.93,-0.677,-0.101,-0.002,0.001,0.001
46,4.7821,-44.929,-0.675,-0.102,-0.001,-0.0,0.001
47,4.803,-44.928,-0.675,-0.102,0.0,0.001,0.001
48,4.822,-44.928,-0.675,-0.101,0.0,-0.0,-0.0
49,4.8429,-44.926,-0.674,-0.102,-0.001,0.001,0.001
50,4.8639,-44.926,-0.676,-0.105,-0.002,-0.0,-0.0
51,4.8828,-44.928,-0.673,-0.105,-0.001,0.002,-0.001
52,4.9037,-44.928,-0.671,-0.105,-0.001,0.002,-0.0
53,4.9227,-44.928,-0.671,-0.104,0.0,-0.0,-0.0
54,4.9436,-44.929,-0.672,-0.103,-0.001,-0.0,-0.001
54,4.9625,-44.93,-0.672,-0.104,-0.001,-0.0,-0.001
55,4.9835,-44.929,-0.674,-0.106,-0.002,-0.0,0.001
56,5.0024,-44.929,-0.674,-0.108,-0.002,0.001,-0.0
57,5.0233,-44.929,-0.671,-0.11,-0.001,0.002,-0.0
58,5.0423,-44.929,-0.669,-0.11,0.0,0.001,-0.0
59,5.0632,-44.93,-0.668,-0.11,0.0,0.001,-0.001
60,5.0821,-44.93,-0.67,-0.111,-0.001,-0.001,-0.0
61,5.103,-44.93,-0.671,-0.111,0.0,0.001,-0.0
62,5.122,-44.93,-0.668,-0.109,0.0,0.002,-0.0
63,5.1429,-44.932,-0.673,-0.104,0.0,-0.003,-0.001
63,5.1639,-44.931,-0.668,-0.112,-0.002,0.002,-0.0
64,5.1828,-44.93,-0.667,-0.111,-0.001,0.002,0.001
65,5.2037,-44.931,-0.671,-0.111,-0.001,-0.002,-0.0
66,5.2227,-44.93,-0.669,-0.112,-0.001,0.002,-0.0
67,5.2436,-44.931,-0.666,-0.109,0.0,0.003,-0.0
68,5.2625,-44.932,-0.665,-0.111,0.0,0.002,-0.001
69,5.2834,-44.931,-0.663,-0.11,0.001,0.001,0.001
70,5.3024,-44.932,-0.661,-0.105,0.0,0.001,-0.001
71,5.3233,-44.933,-0.663,-0.109,-0.002,-0.0,-0.001
72,5.3423,-44.934,-0.663,-0.109,0.0,0.001,-0.001
72,5.3632,-44.936,-0.664,-0.108,0.0,0.001,-0.001
73,5.3821,-44.936,-0.665,-0.107,0.0,0.001,-0.0
74,5.4031,-44.936,-0.664,-0.107,-0.001,-0.0,-0.0
75,5.422,-44.937,-0.666,-0.108,0.0,-0.0,-0.001
76,5.4429,-44.937,-0.664,-0.107,0.0,0.001,-0.0
77,5.4639,-44.936,-0.664,-0.105,-0.001,-0.0,0.001
78,5.4828,-44.936,-0.666,-0.108,-0.002,-0.0,-0.0
79,5.5037,-44.936,-0.666,-0.109,-0.001,-0.001,-0.0
80,5.5227,-44.936,-0.666,-0.111,0.0,0.001,-0.0
81,5.5436,-44.936,-0.667,-0.108,0.001,0.001,-0.0
81,5.5625,-44.935,-0.667,-0.105,0.0,-0.001,0.001
82,5.5835,-44.935,-0.666,-0.105,0.0,0.002,-0.0
83,5.6024,-44.935,-0.666,-0.106,0.0,0.001,-0.0
84,5.6233,-44.935,-0.664,-0.105,-0.001,0.001,-0.0
85,5.6423,-44.935,-0.666,-0.106,0.0,-0.0,-0.0
86,5.6632,-44.937,-0.665,-0.106,0.0,-0.0,-0.002
87,5.6821,-44.937,-0.665,-0.107,-0.001,0.001,-0.0
88,5.703,-44.938,-0.666,-0.107,0.0,-0.0,-0.001
89,5.722,-44.938,-0.674,-0.105,-0.001,-0.001,-0.0
90,5.7429,-44.939,-0.672,-0.104,-0.001,-0.0,-0.0
90,5.7639,-44.939,-0.671,-0.107,-0.002,-0.0,-0.0
91,5.7828,-44.937,-0.671,-0.108,-0.001,-0.0,0.001
92,5.8038,-44.936,-0.674,-0.106,-0.001,-0.0,0.001
93,5.8227,-44.936,-0.674,-0.109,-0.002,-0.0,-0.0
94,5.8436,-44.937,-0.672,-0.113,-0.001,0.001,-0.001
95,5.8625,-44.938,-0.669,-0.113,0.0,0.002,-0.001
96,5.8835,-44.939,-0.671,-0.109,0.001,-0.0,-0.0
97,5.9024,-44.938,-0.671,-0.106,0.001,-0.0,0.001
98,5.9233,-44.938,-0.67,-0.105,0.0,0.001,-0.0
99,5.9423,-44.939,-0.67,-0.107,0.0,0.001,-0.001
99,5.9632,-44.939,-0.671,-0.106,-0.001,0.001,-0.0
100,5.9821,-44.939,-0.673,-0.106,-0.001,-0.0,-0.0
101,6.0031,-44.939,-0.671,-0.106,0.0,0.001,-0.0
102,6.022,-44.939,-0.67,-0.107,-0.001,-0.0,-0.0
103,6.043,-44.939,-0.669,-0.106,0.0,0.001,-0.0
104,6.0639,-44.939,-0.67,-0.105,-0.001,0.001,-0.0
105,6.0828,-44.938,-0.671,-0.105,0.0,0.001,0.001
106,6.1037,-44.939,-0.67,-0.108,-0.001,0.001,-0.001
107,6.1227,-44.94,-0.669,-0.107,0.0,0.001,-0.001
108,6.1436,-44.94,-0.67,-0.103,0.001,-0.0,-0.0
108,6.1626,-44.939,-0.667,-0.103,-0.001,0.002,0.001
109,6.1835,-44.939,-0.667,-0.104,-0.001,0.001,-0.0
110,6.2025,-44.938,-0.668,-0.102,0.002,-0.0,0.001
111,6.2234,-44.939,-0.668,-0.101,0.0,0.001,-0.001
112,6.2423,-44.939,-0.671,-0.101,-0.001,-0.0,-0.0
113,6.2632,-44.939,-0.67,-0.103,-0.001,0.001,-0.0
114,6.2822,-44.938,-0.669,-0.105,-0.001,-0.0,0.001
115,6.3031,-44.938,-0.667,-0.104,0.0,0.002,-0.0
116,6.322,-44.939,-0.669,-0.102,0.0,0.001,-0.001
117,6.343,-44.94,-0.67,-0.102,0.0,-0.0,-0.001
117,6.3619,-44.94,-0.669,-0.1,0.0,0.002,-0.0
118,6.3829,-44.942,-0.668,-0.099,0.0,0.002,-0.001
119,6.4037,-44.942,-0.668,-0.099,-0.001,0.001,-0.0
120,6.4227,-44.942,-0.668,-0.099,-0.001,-0.001,-0.0
121,6.4436,-44.941,-0.668,-0.102,-0.001,0.001,0.001
122,6.4625,-44.94,-0.667,-0.104,-0.001,0.002,-0.0
123,6.4835,-44.928,0.104,-0.104,-0.008,0.672,0.012
124,6.5024,-44.914,0.152,-0.082,-0.113,-0.027,0.01
125,6.5233,-44.936,0.86,-0.139,-0.043,0.504,-0.019
126,6.5423,-44.927,0.591,-0.303,-0.081,-0.3,0.01
126,6.5632,-44.901,0.949,-0.232,0.013,0.173,0.015
127,6.5821,-44.908,0.691,-0.317,-0.058,-0.155,-0.003
128,6.603,-44.9,0.922,-0.278,0.029,0.14,0.005
129,6.622,-44.9,0.813,-0.323,-0.033,-0.09,0.0
130,6.6429,-44.903,0.878,-0.314,0.023,0.065,0.0
131,6.6639,-44.9,0.804,-0.317,-0.015,-0.057,0.001
132,6.6828,-44.898,0.807,-0.255,0.017,0.022,-0.001
133,6.7037,-44.903,0.752,-0.318,-0.02,-0.03,-0.001
134,6.7227,-44.902,0.75,-0.288,0.018,0.033,0.001
135,6.7436,-44.904,0.734,-0.288,-0.008,-0.005,-0.002
135,6.7625,-44.905,0.726,-0.262,0.009,0.027,-0.001
136,6.7834,-44.905,0.732,-0.284,-0.005,0.002,0.001
137,6.8024,-44.906,0.724,-0.269,0.006,0.014,-0.001
138,6.8233,-44.908,0.714,-0.282,0.001,-0.002,0.0
139,6.8422,-44.904,0.696,-0.236,0.006,0.003,0.001
140,6.8632,-44.906,0.693,-0.248,-0.003,0.002,-0.001
141,6.8821,-44.909,0.656,-0.255,-0.001,-0.005,-0.001
142,6.903,-44.911,0.647,-0.262,0.004,0.004,-0.001
143,6.922,-44.912,0.62,-0.249,0.001,-0.004,-0.001
144,6.9429,-44.913,0.62,-0.246,0.006,0.007,0.0
144,6.9638,-44.912,0.597,-0.232,0.002,-0.004,0.0
145,6.9827,-44.913,0.589,-0.232,0.005,0.006,0.0
146,7.0037,-44.913,0.567,-0.217,-0.002,-0.004,-0.001
147,7.0226,-44.913,0.564,-0.215,0.0,0.004,0.0
148,7.0435,-44.913,0.541,-0.224,-0.005,-0.007,0.001
149,7.0625,-44.914,0.53,-0.234,0.005,0.003,0.0
150,7.0834,-44.914,0.509,-0.229,0.002,-0.004,0.0
151,7.1023,-44.916,0.499,-0.215,0.008,0.003,-0.001
152,7.1232,-44.915,0.484,-0.202,0.001,-0.003,-0.0
153,7.1422,-44.917,0.472,-0.2,0.004,0.004,-0.001
153,7.1631,-44.916,0.45,-0.2,-0.001,-0.006,0.001
154,7.182,-44.916,0.442,-0.191,0.004,0.003,-0.0
155,7.203,-44.917,0.425,-0.189,-0.005,-0.003,-0.001
156,7.2239,-44.918,0.415,-0.195,0.001,0.001,-0.0
157,7.2428,-44.918,0.397,-0.203,-0.001,-0.003,-0.0
158,7.2637,-44.917,0.383,-0.197,0.007,0.002,0.001
159,7.2827,-44.916,0.369,-0.183,0.003,-0.003,0.001
160,7.3036,-44.916,0.359,-0.176,0.005,0.002,-0.0
161,7.3225,-44.916,0.345,-0.174,0.002,-0.003,-0.0
162,7.3435,-44.916,0.335,-0.161,0.006,0.001,-0.0
162,7.3624,-44.916,0.318,-0.161,-0.0,-0.004,-0.0
163,7.3833,-44.917,0.307,-0.164,0.002,-0.0,-0.0
164,7.4023,-44.916,0.29,-0.167,0.001,-0.002,0.001
165,7.4232,-44.917,0.275,-0.161,0.005,-0.001,-0.001
166,7.4421,-44.919,0.26,-0.152,0.002,-0.003,-0.001
167,7.463,-44.92,0.251,-0.144,0.003,-0.001,-0.001
168,7.482,-44.919,0.238,-0.155,0.002,-0.025,0.001
169,7.5029,-44.881,0.263,-0.268,-0.055,-0.203,0.027
170,7.5238,-44.819,-0.145,-0.306,-0.087,-0.416,0.051
171,7.5428,-44.746,0.031,-0.466,-0.057,-0.032,0.053
171,7.5637,-44.756,-0.568,-0.471,0.027,-0.451,-0.011
172,7.5826,-44.737,-0.588,-0.431,0.029,-0.102,0.012
173,7.6036,-44.744,-0.858,-0.488,-0.051,-0.175,-0.003
174,7.6225,-44.73,-0.776,-0.473,0.03,-0.018,0.005
175,7.6434,-44.735,-0.978,-0.489,-0.032,-0.148,-0.002
176,7.6623,-44.729,-0.959,-0.49,0.031,0.014,0.001
177,7.6833,-44.732,-1.051,-0.474,-0.016,-0.072,0.001
178,7.7022,-44.737,-1.007,-0.427,0.02,0.04,-0.001
179,7.7232,-44.734,-1.038,-0.486,-0.024,-0.026,-0.001
180,7.7421,-44.734,-0.974,-0.447,0.024,0.059,0.002
180,7.763,-44.738,-0.979,-0.447,-0.016,-0.017,-0.002
181,7.782,-44.738,-0.94,-0.428,0.008,0.037,0.001
182,7.8029,-44.736,-0.93,-0.45,-0.014,-0.012,0.0
183,7.8238,-44.736,-0.909,-0.44,0.008,0.02,0.0
184,7.8427,-44.733,-0.915,-0.451,-0.005,-0.01,0.002
185,7.8637,-44.737,-0.897,-0.409,0.009,0.016,0.0
186,7.8826,-44.736,-0.896,-0.427,-0.007,-0.004,-0.001
187,7.9035,-44.736,-0.897,-0.421,0.007,0.012,0.001
188,7.9225,-44.736,-0.886,-0.422,-0.0,0.002,-0.001
